"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Davonte Allen",WR,2016,"208 lbs",4.62,128,39.0,15,6.81,4.44,22.5,21.9%
"De'Anthony Thomas",WR,2014,"174 lbs",4.50,124,32.0,8,6.83,4.21,-,-
"De'Mornay Pierson-El",WR,2018,"194 lbs",4.62,120,37.5,14,6.98,4.28,21.7,20.2%
"DeAndre Carter",WR,2015,"185 lbs",4.49,126,38.5,17,6.64,3.80,20.4,43.2%
"DeAndre Hopkins",WR,2013,"214 lbs",4.57,115,36.0,15,6.83,4.50,18.2,39.3%
"DeAndre Reaves",WR,2016,"179 lbs",4.58,117,32.0,10,7.01,4.38,-,19.7%
"DeAndre Smelter",WR,2015,"226 lbs",4.57,110,32.0,-,-,-,22.8,43.7%
"DeAndrew White",WR,2015,"193 lbs",4.44,118,34.5,13,6.97,4.18,-,14.8%
"DeAngelo Yancey",WR,2017,"220 lbs",4.58,121,35.5,21,6.84,4.27,18.8,33.4%
"DeMario Bennett",WR,2014,"181 lbs",4.53,123,35.0,-,6.93,4.52,23.2,20.7%
"DeSean Jackson",WR,2008,"175 lbs",4.35,120,34.5,-,6.82,4.19,18.8,32.1%
"DeVante Parker",WR,2015,"209 lbs",4.45,125,36.5,17,-,-,19.6,46.3%
"DeVier Posey",WR,2012,"210 lbs",4.50,123,36.5,14,7.03,4.15,19.5,25.0%
"Deante' Gray",WR,2017,"184 lbs",4.48,115,32.5,12,7.01,4.28,20.5,11.4%
"Dede Westbrook",WR,2017,"178 lbs",4.44,120,34.5,8,7.20,4.34,22.8,38.2%
"Deebo Samuel",WR,2019,"214 lbs",4.48,122,39.0,15,7.03,4.14,20.6,27.2%
"Demarcus Ayers",WR,2016,"182 lbs",4.72,123,33.0,-,7.00,4.33,21.2,31.2%
"Demarcus Robinson",WR,2016,"203 lbs",4.59,123,34.5,9,6.77,4.19,20.0,26.6%
"Demaryius Thomas",WR,2010,"229 lbs",4.41,-,-,-,-,-,19.7,70.9%
"Denarius Moore",WR,2011,"194 lbs",4.45,118,36.0,13,6.78,4.15,19.7,32.1%
"Dennis Parks",WR,2016,"201 lbs",4.66,122,32.5,10,7.44,4.48,21.1,22.3%
